ref	kind	title	domains	verification	path
qeva:1:attractor@1	definition	Attractor	dynamics,systems	editorial	objects/attractor.r1.json
qeva:1:chaos@1	terminology	Chaos	dynamics,chaos	editorial	objects/chaos.r1.json
qeva:1:chirality@1	definition	Chirality	symmetry,geometry	editorial	objects/chirality.r1.json
qeva:1:closed-form@1	terminology	Closed form	representation,algebra,analysis	editorial	objects/closed-form.r1.json
qeva:1:coarse-graining@1	definition	Coarse-graining	information,statistical-mechanics,learning,systems	editorial	objects/coarse-graining.r1.json
qeva:1:collatz-conjecture@1	conjecture	Collatz conjecture	number-theory,dynamics,open-problems	editorial	objects/collatz-conjecture.r1.json
qeva:1:collatz-map@1	definition	Collatz map	number-theory,dynamics,computation	editorial	objects/collatz-map.r1.json
qeva:1:continuity@1	definition	Continuity	analysis,topology,dynamics	editorial	objects/continuity.r1.json
qeva:1:derivability@1	definition	Derivability	logic,proof,foundations	editorial	objects/derivability.r1.json
qeva:1:discreteness@1	definition	Discrete structure	topology,discrete-math,foundations	editorial	objects/discreteness.r1.json
qeva:1:equivalence@1	definition	Equivalence relation	logic,structure	editorial	objects/equivalence.r1.json
qeva:1:exploration-exploitation@1	definition	Exploration–exploitation tradeoff	optimization,learning,decision-theory	editorial	objects/exploration-exploitation.r1.json
qeva:1:fixed-point@1	definition	Fixed point	dynamics,analysis,computation	editorial	objects/fixed-point.r1.json
qeva:1:formal-system@1	formal-system	Formal system	logic,foundations	editorial	objects/formal-system.r1.json
qeva:1:grouping@1	definition	Grouping / partition	foundations,set-theory,information	editorial	objects/grouping.r1.json
qeva:1:halving@1	concept	Halving	number,algebra,structure	editorial	objects/halving.r1.json
qeva:1:hierarchy@1	definition	Hierarchy and scale	systems,order,information	editorial	objects/hierarchy.r1.json
qeva:1:invariant@1	definition	Invariant	symmetry,structure,dynamics	editorial	objects/invariant.r1.json
qeva:1:local-global@1	definition	Local versus global optimum	optimization,dynamics	editorial	objects/local-global.r1.json
qeva:1:nonlinearity@1	definition	Nonlinearity	algebra,dynamics,optimization	editorial	objects/nonlinearity.r1.json
qeva:1:optimization@1	definition	Optimization	optimization,analysis,algorithms	editorial	objects/optimization.r1.json
qeva:1:parity@1	definition	Parity	number,arithmetic	editorial	objects/parity.r1.json
qeva:1:periodicity@1	definition	Periodicity of a sequence	dynamics,sequence,recurrence	editorial	objects/periodicity.r1.json
qeva:1:prime@1	definition	Prime number	number,arithmetic	editorial	objects/prime.r1.json
qeva:1:quasiperiodicity@1	definition	Quasiperiodicity	dynamics,analysis,sequence	editorial	objects/quasiperiodicity.r1.json
qeva:1:recurrence@1	definition	Recurrence relation	dynamics,sequence,computation	editorial	objects/recurrence.r1.json
qeva:1:satisfaction@1	definition	Satisfaction	logic,semantics,foundations	editorial	objects/satisfaction.r1.json
qeva:1:sensitivity@1	definition	Sensitive dependence on initial conditions	dynamics,chaos,analysis	editorial	objects/sensitivity.r1.json
qeva:1:sequence@1	definition	Sequence	structure,number,dynamics	editorial	objects/sequence.r1.json
qeva:1:signal-noise@1	definition	Signal and noise	information,statistics,learning	editorial	objects/signal-noise.r1.json
qeva:1:stability@1	definition	Stability	dynamics,analysis,control	editorial	objects/stability.r1.json
qeva:1:symmetry@1	definition	Symmetry	symmetry,structure	editorial	objects/symmetry.r1.json
