ref	kind	title	domains	verification	path
qeva:1:chaos@1	terminology	Chaos	dynamics,chaos	editorial	objects/chaos.r1.json
qeva:1:chirality@1	definition	Chirality	symmetry,geometry	editorial	objects/chirality.r1.json
qeva:1:closed-form@1	terminology	Closed form	representation,algebra,analysis	editorial	objects/closed-form.r1.json
qeva:1:derivability@1	definition	Derivability	logic,proof,foundations	editorial	objects/derivability.r1.json
qeva:1:equivalence@1	definition	Equivalence relation	logic,structure	editorial	objects/equivalence.r1.json
qeva:1:formal-system@1	formal-system	Formal system	logic,foundations	editorial	objects/formal-system.r1.json
qeva:1:halving@1	concept	Halving	number,algebra,structure	editorial	objects/halving.r1.json
qeva:1:invariant@1	definition	Invariant	symmetry,structure,dynamics	editorial	objects/invariant.r1.json
qeva:1:parity@1	definition	Parity	number,arithmetic	editorial	objects/parity.r1.json
qeva:1:periodicity@1	definition	Periodicity of a sequence	dynamics,sequence,recurrence	editorial	objects/periodicity.r1.json
qeva:1:prime@1	definition	Prime number	number,arithmetic	editorial	objects/prime.r1.json
qeva:1:quasiperiodicity@1	definition	Quasiperiodicity	dynamics,analysis,sequence	editorial	objects/quasiperiodicity.r1.json
qeva:1:recurrence@1	definition	Recurrence relation	dynamics,sequence,computation	editorial	objects/recurrence.r1.json
qeva:1:satisfaction@1	definition	Satisfaction	logic,semantics,foundations	editorial	objects/satisfaction.r1.json
qeva:1:sensitivity@1	definition	Sensitive dependence on initial conditions	dynamics,chaos,analysis	editorial	objects/sensitivity.r1.json
qeva:1:sequence@1	definition	Sequence	structure,number,dynamics	editorial	objects/sequence.r1.json
qeva:1:symmetry@1	definition	Symmetry	symmetry,structure	editorial	objects/symmetry.r1.json
